人民大学:人民大学 0.0, 知春里 0.00126936205458215, 魏公村 0.002708554681679412, T3航站楼 0.003795036956611154, T2航站楼 0.003795036956611383, 菜市口 0.005099353787816561, 虎坊桥 0.006004104223710423, 五道口 0.006602873708675733, 芳园里 0.006832317993560413, 花园桥 0.007108963159430432
魏公村:魏公村 0.0, 人民大学 0.002121163906247051, 知春里 0.0025662261450039624, T3航站楼 0.0031984579668147706, T2航站楼 0.0031984579668150456, 白石桥南 0.0035333007113438992, 国家图书馆 0.0042093196502497685, 菜市口 0.004401342938283972, 团结湖 0.005097039434980183, 三元桥 0.0052689235491324305
国家图书馆:国家图书馆 0.0, 白石桥南 0.0013197690204443582, 魏公村 0.0029952512518088515, 南礼士路 0.003281450444063378, 车公庄西 0.003500313898771405, 三元桥 0.0035925839603043255, 团结湖 0.0037426331122490455, 呼家楼 0.004161552554747552, 白堆子 0.004405878761144639, 安贞门 0.004847477091525337
动物园:动物园 0.0, 车公庄西 0.0007133945457894119, 国家图书馆 0.003218966737024556, 大钟寺 0.004253493107841953, 蓟门桥 0.005047621599774992, 白石桥南 0.005133692769257642, 阜成门 0.005276751756317242, 和平西桥 0.005351180951547473, 永安里 0.005535940835054305, 安贞桥 0.005760467232962689
新街口:新街口 0.0, 车公庄 0.0005606085733630799, 阜成门 0.0018332834871882444, 平安里 0.0018552689150153924, 西直门 0.0029296009911594506, 东大桥 0.003638267428632931, 东单 0.004008973791406958, 北京站 0.004291367480801252, 车公庄西 0.004946519011796338, 西四 0.004981592521182995
平安里:平安里 0.0, 新街口 0.001630661550121141, 车公庄 0.0016770978848653095, 阜成门 0.0018965814126087818, 东单 0.0034990012004905355, 西四 0.0042026351014235845, 西直门 0.005112517999900357, 灯市口 0.005115581102177871, 北京站 0.005141164551123546, 东直门 0.0052564583859629034
西四:西四 0.0, 阜成门 0.0019374583116640546, 前门 0.0022355963722973035, 王府井 0.002319698342770924, 复兴门 0.0024336135912403894, 灵境胡同 0.0027834368642058647, 柳芳 0.00360872035562812, 北太平庄 0.003900258978245183, 知春路 0.004024089538915228, 蓟门桥 0.004097366140004498
灵境胡同:灵境胡同 0.0, 西单 0.0015095187378242115, 复兴门 0.0017436917588446765, 和平门 0.0018651692276529016, 长椿街 0.0018753718404969253, 宣武门 0.0022737261689713944, 天安门东 0.002317855345790331, 王府井 0.002538988245771011, 亮马桥 0.0028244399763132783, 三元桥 0.003164738046366883
菜市口:菜市口 0.0, 虎坊桥 0.0016479008226432147, T3航站楼 0.0021353707579120523, T2航站楼 0.0021353707579121195, 广安门内 0.0023805685867240053, 国贸 0.0025538943181615623, 五道口 0.002891375006548893, 珠市口 0.0034195808642937696, 桥湾 0.0039028838736291874, 知春里 0.004110771851958014
陶然亭:陶然亭 0.0, 西钓鱼台 0.0027663980948543134, 天坛东门 0.002902025696726503, 公主坟 0.0036007735791613467, 双井 0.003941808709609564, 六里桥东 0.004080324148943704, 九龙山 0.004267043366313947, 大望路 0.004547796686479987, 劲松 0.004751633031951812, 北苑路北 0.00477966687846823
北京南站:北京南站 0.0, 陶然桥 0.0025417078925710746, 潘家园 0.0027130585010391338, 蒲黄榆 0.0030287484292733893, 方庄 0.003827457026769114, 北工大西门 0.004521258499284981, 景泰 0.004523212690940975, 十里河 0.004730084899960332, 平乐园 0.0051732843504662005, 六里桥 0.005637550402723037
马家堡:马家堡 0.0, 七里庄 0.0019046575908591551, 大郊亭 0.004573304004775324, 泥洼 0.00486182027996767, 回龙观东大街 0.006672247720380129, 分钟寺 0.0067547662597759505, 林萃桥 0.0072315005242696555, 成寿寺 0.007438108363979313, 刘家窑 0.007877883560602435, 生命科学园 0.008194495344944028
角门西:角门西 0.0, 公益西桥 0.002968934969800039, 角门东 0.0036498675635450828, 草桥 0.003760409187292287, 丰台东大街 0.00678807323213813, 纪家庙 0.007534035219443555, 首经贸 0.007909338565200999, 大红门 0.008525116767305349, 育知路 0.00879954819865222, 平西府 0.009056601882197845
