0-HSD-multi: h:0.452548412927717, c:0.6232256952174642, v:0.5243476248981701, s:0.3054404914536564, a:0.703125, M:0.655631423228293, m:0.703125
1-HSD-multi: h:0.3763799663321891, c:0.5892335414173779, v:0.45934672350914757, s:0.06925433856193686, a:0.7916666666666666, M:0.7032832088075897, m:0.7916666666666666

1-HSD-single: h:0.45134994816063284, c:0.6688097418848166, v:0.5389718002025055, s:0.08468920654186814, a:0.8333333333333334, M:0.7818314374600925, m:0.8333333333333334

1-graphwave: h:0.34971502517870534, c:0.7085362180338667, v:0.46829288020021786, s:0.0504038571821195, a:0.8020833333333334, M:0.7372559753357565, m:0.8020833333333334

2-HSD-multi: h:0.47695932487464493, c:0.6631428570440819, v:0.5548488098827893, s:0.16410729108268599, a:0.7395833333333334, M:0.5856663162920684, m:0.7395833333333334

2-HSD-single: h:0.5924805282319237, c:0.6768836571379313, v:0.6318760074608323, s:0.23398963349677473, a:0.7864583333333334, M:0.6421030876185773, m:0.7864583333333334

2-graphwave: h:0.41238106114312034, c:0.7464445439724426, v:0.5312612903425643, s:0.1738053813940564, a:0.7864583333333334, M:0.6611549011493695, m:0.7864583333333334

3-HSD-multi: h:0.5710845065870142, c:0.6941723258764527, v:0.6266412479079982, s:0.31670457830083126, a:0.7135416666666666, M:0.6422548710764654, m:0.7135416666666666

3-HSD-single: h:0.4372314130173404, c:0.7656404152571175, v:0.5566046735108513, s:0.02089935226566042, a:0.796875, M:0.7281760908049567, m:0.796875

3-graphwave: h:0.2462593506075092, c:0.692661706983327, v:0.36334134967656884, s:0.03006345815801163, a:0.7916666666666666, M:0.7333149963971742, m:0.7916666666666666

4-HSD-multi: h:0.3816171778441031, c:0.5941672268719018, v:0.46474286572002443, s:0.09014109691287814, a:0.7135416666666666, M:0.6375961547464035, m:0.7135416666666666

4-HSD-single: h:0.5248824569554534, c:0.6999668832812754, v:0.5999110672878655, s:0.19627075904546096, a:0.828125, M:0.7500969150697369, m:0.828125

4-graphwave: h:0.186707817263869, c:0.6699188192050828, v:0.29202706325675404, s:0.025030883980369872, a:0.7864583333333334, M:0.708210138785391, m:0.7864583333333334

5-HSD-multi: h:0.433495482037853, c:0.6301561639376716, v:0.513645329425027, s:0.04615913837587348, a:0.6927083333333334, M:0.5846878391386169, m:0.6927083333333334

5-HSD-single: h:0.5223965894650858, c:0.6621175275192088, v:0.5840165739547296, s:0.24013166105251396, a:0.78125, M:0.686808130249374, m:0.78125

5-graphwave: h:0.16480577632387827, c:0.6036302716030135, v:0.2589200644413098, s:0.06622755992947134, a:0.78125, M:0.7189956946422463, m:0.78125

6-HSD-multi: h:0.37410489434949173, c:0.566817771304407, v:0.45072631405235597, s:0.09253138589026626, a:0.7864583333333334, M:0.7427107851220907, m:0.7864583333333334

6-HSD-single: h:0.34992091158040245, c:0.6256088118372004, v:0.4488097091780638, s:0.25266827954320986, a:0.84375, M:0.8070045349057496, m:0.84375

6-graphwave: h:0.19645654066417903, c:0.7116324184249017, v:0.30791001641178495, s:0.31714598240779307, a:0.8125, M:0.7877869515918041, m:0.8125

7-HSD-multi: h:0.41330165381731276, c:0.6029293448636924, v:0.49042333030695956, s:0.07777674487115464, a:0.7552083333333334, M:0.6493676354365334, m:0.7552083333333334

7-HSD-single: h:0.5351131494391744, c:0.6793993307822096, v:0.598685516274754, s:0.308995888297335, a:0.78125, M:0.683746703512369, m:0.78125

7-graphwave: h:0.41674323869119617, c:0.7179198711721053, v:0.5273604995743171, s:0.14793844934830477, a:0.7760416666666666, M:0.6816033921551248, m:0.7760416666666666

8-HSD-multi: h:0.3593854993758748, c:0.5906202747272072, v:0.4468612047642608, s:0.031124900956047894, a:0.75, M:0.6402515312345034, m:0.75

