0-HSD-single, h:0.5414688249189367, c:0.713485517433834, v:0.6156880002459552, s:0.17218896980270015, a:0.796875, M:0.7217248756749571, m:0.796875
0-graphwave, h:0.36135932245700847, c:0.759532078237197, v:0.48972451212699525, s:0.12761584079721736, a:0.8177083333333334, M:0.7923690504570569, m:0.8177083333333333
0-struc2vec, h:0.497079358596604, c:0.6097711243990841, v:0.5476884982453544, s:0.4626438319683075, a:0.5625, M:0.5216647362757421, m:0.5625
0-node2vec, h:0.14657971668462805, c:0.21812774070878177, v:0.17533561097250536, s:0.06293974071741104, a:0.2552083333333333, M:0.11646050963605299, m:0.2552083333333333
1-HSD-multi, h:0.3843698650490667, c:0.6693194033670069, v:0.48831513513206004, s:0.12372239583092552, a:0.796875, M:0.7436391053910258, m:0.796875
1-HSD-single, h:0.3295695680816208, c:0.6427606346352224, v:0.4357251150786025, s:0.00975536819769198, a:0.8541666666666666, M:0.8218589217296113, m:0.8541666666666666
1-graphwave, h:0.18504197184553725, c:0.6641804098638495, v:0.2894442147297102, s:0.3234511852026461, a:0.8177083333333334, M:0.7928405688792882, m:0.8177083333333333
1-struc2vec, h:0.4527778979699417, c:0.5572133540640103, v:0.4995961908893886, s:0.41253817081451416, a:0.65625, M:0.5884559839628851, m:0.65625
1-node2vec, h:0.1566324632689225, c:0.2666329469051762, v:0.19733894742417693, s:0.05327915772795677, a:0.20833333333333334, M:0.10609649122807019, m:0.20833333333333334
2-HSD-multi, h:0.41220046991698034, c:0.5898378642327319, v:0.48527373958776004, s:0.17844739056396722, a:0.78125, M:0.717830930973788, m:0.78125
2-HSD-single, h:0.34833482049986536, c:0.582884266649504, v:0.43607114415382, s:0.06385633662276016, a:0.8229166666666666, M:0.7634269416466489, m:0.8229166666666666
2-graphwave, h:0.3329331237840058, c:0.678043908251801, v:0.44658438180817656, s:0.1782637381857708, a:0.71875, M:0.7018264562523642, m:0.71875
2-struc2vec, h:0.4590639323150254, c:0.5555033693131936, v:0.5027001377274973, s:0.4625323712825775, a:0.5625, M:0.49892093554257977, m:0.5625
2-node2vec, h:0.15714652594573067, c:0.34984158876868937, v:0.21687447382194347, s:0.051987726241350174, a:0.34375, M:0.14170267258733515, m:0.34375
3-HSD-multi, h:0.35541990895011677, c:0.6124746900862501, v:0.4498128180515384, s:0.09543205197131586, a:0.7395833333333334, M:0.6224812030075189, m:0.7395833333333334
3-HSD-single, h:0.3487192076881926, c:0.593574839534776, v:0.4393340876051067, s:0.13880521939488202, a:0.8072916666666666, M:0.7631705136968294, m:0.8072916666666666
3-graphwave, h:0.36279721622845457, c:0.7030254800097065, v:0.4786080986742313, s:0.27869286836197293, a:0.78125, M:0.735484451136625, m:0.78125
3-struc2vec, h:0.48404505350918203, c:0.5705558777439489, v:0.5237521458365926, s:0.4420599639415741, a:0.609375, M:0.5295144780661509, m:0.609375
3-node2vec, h:0.23848014133566012, c:0.3133522039948212, v:0.27083688924313526, s:0.14497877657413483, a:0.265625, M:0.13458333333333333, m:0.265625
4-HSD-multi, h:0.4886320595879302, c:0.6588244833233703, v:0.5611066775156074, s:0.13448541344677786, a:0.765625, M:0.6741464853133603, m:0.765625
4-HSD-single, h:0.36117550722412495, c:0.5872072338869426, v:0.4472558627465661, s:0.06548131926606153, a:0.78125, M:0.715157514054573, m:0.78125
4-graphwave, h:0.35360093272928234, c:0.689835330889986, v:0.4675444489272929, s:0.19209375614842528, a:0.75, M:0.7378407020465844, m:0.75
4-struc2vec, h:0.49496772399991734, c:0.5753329831491956, v:0.5321331758622602, s:0.4887854754924774, a:0.53125, M:0.4693760272133871, m:0.53125
4-node2vec, h:0.15702207189081271, c:0.21904134823083737, v:0.1829176914778742, s:0.04538601636886597, a:0.34375, M:0.16320317702468728, m:0.34375
5-HSD-multi, h:0.42477589253354064, c:0.6282128712678947, v:0.5068424132666219, s:0.023671183911414956, a:0.6875, M:0.5760028609272592, m:0.6875
5-HSD-single, h:0.36259727532242925, c:0.7306934592766569, v:0.4846788672855505, s:0.016740772034969487, a:0.8229166666666666, M:0.800625162597032, m:0.8229166666666666
5-graphwave, h:0.15643585642204333, c:0.6322668538542373, v:0.2508149280615781, s:0.101895897710499, a:0.7708333333333334, M:0.7488387533696864, m:0.7708333333333333
5-struc2vec, h:0.4738101910349249, c:0.5535167177846403, v:0.5105713858812735, s:0.46881604194641113, a:0.5677083333333334, M:0.48146638130907793, m:0.5677083333333334
5-node2vec, h:0.17950634838162413, c:0.24871272559003613, v:0.20851716273461918, s:0.13475807011127472, a:0.28125, M:0.14654257886816027, m:0.28125
6-HSD-multi, h:0.509521450914198, c:0.6567535771660739, v:0.573844123339518, s:0.3238813592294573, a:0.7552083333333334, M:0.7065910730254281, m:0.7552083333333334
6-HSD-single, h:0.35159034739032025, c:0.7070365012465809, v:0.4696408548696936, s:0.06435939962268321, a:0.8072916666666666, M:0.7445724119607356, m:0.8072916666666666
6-graphwave, h:0.18410914883297924, c:0.6482870077881496, v:0.2867758776970922, s:0.29389704494600105, a:0.8072916666666666, M:0.7732537709290865, m:0.8072916666666666
6-struc2vec, h:0.5036606487267533, c:0.6038953738348034, v:0.5492423490150224, s:0.5252544283866882, a:0.6302083333333334, M:0.5653825172144884, m:0.6302083333333334
6-node2vec, h:0.29903166355214916, c:0.3237815097848182, v:0.31091482211149885, s:0.17361842095851898, a:0.3541666666666667, M:0.17710143288084465, m:0.3541666666666667
7-HSD-multi, h:0.4637434709908873, c:0.627167577493123, v:0.5332146368556467, s:0.16557721607111953, a:0.71875, M:0.6397519433138448, m:0.71875
7-HSD-single, h:0.5011874555395114, c:0.6388234149878852, v:0.5616968928528218, s:0.11023553471568208, a:0.8072916666666666, M:0.7734157603662248, m:0.8072916666666666
