0-node2vec: h:0.23698425154744276, c:0.2690368034355606, v:0.251995385856165, s:0.1809908151626587, a:0.3333333333333333, M:0.1310332847386482, m:0.3333333333333333
3-node2vec: h:0.20714030456199392, c:0.27412271861001924, v:0.23597018963140307, s:0.08903651684522629, a:0.3177083333333333, M:0.11592057295700757, m:0.3177083333333333

4-node2vec: h:0.25671794813974264, c:0.29983380578997504, v:0.2766057922262975, s:0.15774928033351898, a:0.359375, M:0.13557866042142772, m:0.359375

5-node2vec: h:0.24577007860008393, c:0.2932065762695715, v:0.2674008332077433, s:0.19669024646282196, a:0.2916666666666667, M:0.10793979563656449, m:0.2916666666666667

6-node2vec: h:0.25784636654710685, c:0.27505754635070734, v:0.26617402200044243, s:0.21973483264446259, a:0.28125, M:0.10058516250105036, m:0.28125

7-node2vec: h:0.26166905440315646, c:0.30672148594222753, v:0.2824097710805103, s:0.15815888345241547, a:0.3072916666666667, M:0.12797176562932863, m:0.3072916666666667

8-node2vec: h:0.21560155036870188, c:0.34127376213399724, v:0.26425718850983454, s:0.06495069712400436, a:0.328125, M:0.1248520216680594, m:0.328125

9-node2vec: h:0.2265870881161908, c:0.23346205313067825, v:0.22997320095472662, s:0.1573585420846939, a:0.2916666666666667, M:0.12550329300329302, m:0.2916666666666667

--------------------------------------------------------------------------------
0-node2vec: h:0.21126270344382148, c:0.24593796841276916, v:0.2272854056638841, s:0.15428924560546875, a:0.3020833333333333, M:0.1205334753457238, m:0.3020833333333333

1-node2vec: h:0.23678970766858534, c:0.3283806322621798, v:0.27516360439902854, s:0.126633882522583, a:0.3385416666666667, M:0.12867751390911467, m:0.3385416666666667

2-node2vec: h:0.1924056947901302, c:0.34016160309334276, v:0.2457868886963447, s:0.08579786866903305, a:0.359375, M:0.14194963214487832, m:0.359375

3-node2vec: h:0.2121782213060234, c:0.2582054205678938, v:0.23293993238971636, s:0.13625700771808624, a:0.2760416666666667, M:0.11560889135528425, m:0.2760416666666667

4-node2vec: h:0.2667349270313545, c:0.32097225647799915, v:0.29135091015740733, s:0.09605240821838379, a:0.2604166666666667, M:0.11183069862315147, m:0.2604166666666667

5-node2vec: h:0.23765774731568498, c:0.2875146434398862, v:0.26021962952731964, s:0.12070811539888382, a:0.21875, M:0.08428565986705522, m:0.21875

6-node2vec: h:0.21336869913503664, c:0.37462815256393983, v:0.27188554272345616, s:0.06803962588310242, a:0.296875, M:0.12909997145554752, m:0.296875

7-node2vec: h:0.2985654764048196, c:0.33269982887258026, v:0.3147097807426425, s:0.19057844579219818, a:0.3333333333333333, M:0.13493324018009625, m:0.3333333333333333

8-node2vec: h:0.23065412149265938, c:0.2623149743191238, v:0.24546784157458665, s:0.10759884119033813, a:0.2708333333333333, M:0.10934385662646533, m:0.2708333333333333

9-node2vec: h:0.2369206212864967, c:0.32868844912817086, v:0.2753600522001879, s:0.11045318841934204, a:0.2552083333333333, M:0.1195109333698516, m:0.2552083333333333

--------------------------------------------------------------------------------
0-node2vec: h:0.24581400267202297, c:0.3153779292353004, v:0.2762844821245426, s:0.14270184934139252, a:0.3125, M:0.13732067625834563, m:0.3125

1-node2vec: h:0.25281035577045596, c:0.3259549860342262, v:0.2847606448842134, s:0.16274845600128174, a:0.2708333333333333, M:0.10960794655414907, m:0.2708333333333333

2-node2vec: h:0.19972067487375436, c:0.26350907732532897, v:0.22722292991300297, s:0.09446690231561661, a:0.2916666666666667, M:0.12179468788452587, m:0.2916666666666667

3-node2vec: h:0.20302356037679017, c:0.28876745863700826, v:0.23842077348630067, s:0.0792919397354126, a:0.25, M:0.12688533896919377, m:0.25

4-node2vec: h:0.1856405305101186, c:0.2696033859079113, v:0.21987911878567912, s:0.025034382939338684, a:0.3020833333333333, M:0.12404937404937405, m:0.3020833333333333

5-node2vec: h:0.19823719877259946, c:0.22678174411741228, v:0.21155093644018735, s:0.1555848866701126, a:0.2864583333333333, M:0.11102182539682538, m:0.2864583333333333

6-node2vec: h:0.19715203688454705, c:0.23607320728774478, v:0.2148642734777344, s:0.1408447027206421, a:0.25, M:0.11205384221513254, m:0.25

7-node2vec: h:0.21569603698295445, c:0.30788839103140175, v:0.25367563367148366, s:0.10498269647359848, a:0.2916666666666667, M:0.12854537778137098, m:0.2916666666666667

8-node2vec: h:0.2223243758767284, c:0.2829288670882542, v:0.24899190522272602, s:0.1194634661078453, a:0.3072916666666667, M:0.1312061611769214, m:0.3072916666666667

9-node2vec: h:0.2186946491117318, c:0.2756947108114196, v:0.2439088011612378, s:0.0962631031870842, a:0.296875, M:0.12279825908858166, m:0.296875

--------------------------------------------------------------------------------
0-node2vec: h:0.17710362674958846, c:0.23914187914577087, v:0.20349958620370046, s:0.10161188989877701, a:0.2760416666666667, M:0.11329739737489541, m:0.2760416666666667

1-node2vec: h:0.21144626056583304, c:0.2275818050856909, v:0.21921751898379843, s:0.08465581387281418, a:0.2916666666666667, M:0.09805379805379805, m:0.2916666666666667

2-node2vec: h:0.2540102844873192, c:0.28252336387994437, v:0.2675091869889058, s:0.11511360853910446, a:0.2916666666666667, M:0.12189632657696019, m:0.2916666666666667

3-node2vec: h:0.22753499066736346, c:0.29587491717584485, v:0.2572434931380001, s:0.16040374338626862, a:0.3125, M:0.13209592550995525, m:0.3125

4-node2vec: h:0.1784869330630605, c:0.20866786695885411, v:0.19240101168932122, s:0.15820007026195526, a:0.28125, M:0.11888607561838743, m:0.28125

5-node2vec: h:0.23525807517394812, c:0.2816063505356749, v:0.2563541411960229, s:0.16601811349391937, a:0.2552083333333333, M:0.10857454908835022, m:0.2552083333333333

6-node2vec: h:0.20363644575032844, c:0.32490787235159535, v:0.25035964650828574, s:0.04071876406669617, a:0.3020833333333333, M:0.1223670901020776, m:0.3020833333333333

7-node2vec: h:0.20276849299293845, c:0.2606894573260797, v:0.22810961971747623, s:0.1308339238166809, a:0.34375, M:0.1273148148148148, m:0.34375

8-node2vec: h:0.17771071700095867, c:0.2023520206391636, v:0.18923256143268033, s:0.08611172437667847, a:0.24479166666666666, M:0.09373963273032415, m:0.24479166666666666

9-node2vec: h:0.20344152771248186, c:0.23948493836363, v:0.21999670580287367, s:0.15546159446239471, a:0.2708333333333333, M:0.1180742957265271, m:0.2708333333333333

--------------------------------------------------------------------------------
