0-struc2vec: h:0.48642319340636303, c:0.6163785501970407, v:0.5437438315147463, s:0.4720359742641449, a:0.6302083333333334, M:0.5235142978511238, m:0.6302083333333334
4-struc2vec: h:0.5053996669531711, c:0.6274267761103919, v:0.5598408928840679, s:0.4144279658794403, a:0.609375, M:0.5255583983105913, m:0.609375

5-struc2vec: h:0.49105002855477536, c:0.6042473702912802, v:0.5417993117636986, s:0.5137856006622314, a:0.5416666666666666, M:0.4099431175979164, m:0.5416666666666666

6-struc2vec: h:0.506035257638727, c:0.6011566425637013, v:0.54950990238519, s:0.5033370852470398, a:0.5677083333333334, M:0.48187028743530297, m:0.5677083333333334

7-struc2vec: h:0.4729522748842348, c:0.5835658839887212, v:0.5224686581283521, s:0.41856256127357483, a:0.5833333333333334, M:0.5429866801766104, m:0.5833333333333334

8-struc2vec: h:0.49102558800096474, c:0.6225441040331753, v:0.5490183271440041, s:0.5257489085197449, a:0.5833333333333334, M:0.5250687081928115, m:0.5833333333333334

9-struc2vec: h:0.4469002843993303, c:0.5458447418092475, v:0.4914417376313902, s:0.39760830998420715, a:0.5416666666666666, M:0.41567621774111313, m:0.5416666666666666

--------------------------------------------------------------------------------
0-struc2vec: h:0.450393303615356, c:0.563552535529199, v:0.5006584739318012, s:0.43684592843055725, a:0.5208333333333334, M:0.43406801463852007, m:0.5208333333333334

1-struc2vec: h:0.4689264103804396, c:0.5884668936677908, v:0.5219395035298584, s:0.3461131155490875, a:0.5989583333333334, M:0.5791424316577158, m:0.5989583333333334

2-struc2vec: h:0.48860308072804876, c:0.618412625932869, v:0.5458970678985573, s:0.5305683612823486, a:0.6145833333333334, M:0.5342553347739759, m:0.6145833333333334

